party,work_for
Suomen Keskusta,eriarvoisuud vähentämin me heng kasvattamin rakentav yhteistyö ja rohkeut kyseenalaist vanho toimintatapo ja kulttuur
Vihreä liitto,päätöksenteo tule nojautu tieto ja tosiasio kuunnel viimeis tutkimustuloks tahdo myös tuoda es suomalais osaamis ja opetuks korkea taso ja edist niide tuotteistam vientimarkkino luoma suome uus työmahdollisuuks
Suomen Keskusta,kannust päätöst tekijö pysym kohtuud ja kiinnitäm huomio päätöst vaikutust arvioint lähin sydän ova koulutus biotalous ja sujuv ark
Kansallinen Kokoomus,valtio taloud tervehdyttäm tarpeettom tehtäv ja säännösviidako karsim sivistystaso kohottam ja arj turvallisuut
Kansallinen Kokoomus,kilpailukyvy ja yrittäj myönteis ilmapiir palauttamin ilmais koulutuks laaduk terveydenhoido ja arvok vanhuud turvaamin kaik
Perussuomalaiset,kute vaaliteem minu tärkeä asia liittyv yhteiskun epäkoht ja asio mitä oli syytä muut turvallisuus ja sen tärkeys jokais suomalais konkretisoitu työni kaut lähipalvelu on säilytettäv kunnal itsemääräämisoikeut ei saa rajoit kyläkoulu ylläpitokulu ja saneerauks on korvamerkittäv euro jot niide huono kuno tak lopet ja laps ruve siir tois koulu laps ja nuori on panostettav koulutuks ei saa kohdist säästöj eupolitiik suunt on muutettav tukipolitiik on hyv vahingol ja suome maksam jäsenmaksu on käynnistettäv neuvottelu niide kohtuullistamis pksektor on kaik mahdollis toim tuettav jot työllisyys saada taas kasvam vanhustenhoito ja vars kotihoito on satsattav use epäkohd liittyv tekev käs ja aja puut työtä tekev por on kuunneltav parem kuin tänä päivä
Suomen Sosialidemokraattinen Puolue,suome suur ongelm nykyhetk on alhain työllisyys ja ete vientiteollisuud ongelm näih ongelm meidä tule löytä ratkaisu mahdollis nopeast
Perussuomalaiset,halua edist julkis taloud tervehdyttäm pienyrittäj asem vapa kielivalint ryhdik maahanmuuttopolitiik ja suome etu huomioim eus
Suomen Keskusta,maan talous on saatav kunto ja suomi nousu yrittäjyyd työllisyyd ja maaseutuelinkeino kaut voim saada talout kasvu ulko ja turvallisuuspolitiik on oltav vaka ja ennustettav suome oma puolustusvoim on oltav kuno ja puolustuks on varattav riittäv resurs
Kansallinen Kokoomus,koulutu ja yrittäjyyd merkity yhteiskun eläm on myös pääkaupunkiseudu ulkopuol
Suomen Sosialidemokraattinen Puolue,oikeudenmukaisuut vanhust asum työeläm laki muutoks kaut parannuks nuore eivä saa joutu maksam tämä hetkis päättäj päätöks maahanmuuto kiristyks
Suomen Keskusta,kouluks ja työeläm yhteistyö saada suomi nousu työeläm yhteistyö pitä aloit jo peruskoulu lukio kute ammattikoulu jo tehd
Vasemmistoliitto,ihmist yhdenvertaisuus naist oikeuks turvaamin esim aborttil huonontamis estämin ja turvakotipaiko lisäämin ympäristö suojelu turkistarhauks lakkauttamin
Vihreä liitto,kannustav yrittäjyyt lähe tuotetu ruoka ja palvelu byrokratia väheny energia omavaraisuut koulutuks tärkeyt vanhust asem parantam
Kansallinen Kokoomus,näen et suomi tarvits suunnanmuutoks se on välttämätö erityis vela maksav tai velkataak al musertuv nuore sukupolv näkökulm muutos saada aika konkreettis järkiratkaisu en kaik tarvits lisä työtä ja joustav työmarkkin maailm parh koulutuks sekä vetur menestyv helsing metropolialue katso 50 konkreet ratkaisu suome ongelm verkkosivu
Suomen Sosialidemokraattinen Puolue,hyvinvoint syntyy työs kotimais energia ja turvallisuut panostamin luo työtä
Suomen Kristillisdemokraatit (KD),tärkeimp asia on tasapuolisuus ja heikom huol pitämin päätöksenteo sekä päätöst vaikutust arvioint
Perussuomalaiset,nuort työllistym ja ehk syrjäytym luoda uus työvälin uus työpaiko luomis
Vasemmistoliitto,työllisyyd kohentamis vaikuttav asio sekä koulutuks nuort mahdollisuuks työllisty itäsuom laaduk ja riittäv vanhust palvelu perh hyvinvoint
Kansallinen Kokoomus,suomalaist yrityst kansainväl kilpailukyky on nostettav pient ja nuort yrityst toimintaedellytyks on parannettav ilm yrityst luom työpaiko ja uus vientitulo raha eivä riitä ylläpitäm julkis palvelu nykyis taso
Kansallinen Kokoomus,1 häme maakunnallin edunvalvon vt12 kimol kanav forssatuulos tie hartolajouts tie kouvolantie lahd kehätie ammattikorkeakoulu asem yn muut vastaav keskeis asia jotk vaativ valtakunnal huomio 2 talouskur ylläpito valtio on ylivelkaantunu ja kokonaisveroast hyv kork jote valtiotaloud tasapainottamis tarv jämäk kulukur 3 puolustuskyvy ylläpito suome puolustusvoim tarvitsev lisä määräraho jot reserv voida koulut ja asiallis kalustohankin suorit 4 maa ja metsätilallist asem parantamin metsänomistaj maaseudu haast ova minu tutu ja sen tähd halua toim maaseutuelinkeino leipä saav asiamieh
Suomen Kristillisdemokraatit (KD),hyvinvointivaltio palvelu turvattav palvelu ova tärkeämp kuin rakent â €“ sote ja sen muka tuoma kuntauudistus pitä saada maal laadukas tutkimus ja koulutus luo pohj vientiteollisuud mahdollisuuks â €“ toise ja kork
Suomen Keskusta,elinkeinojohtaj tun lappilaist yrittäj haast mut myös lap tarjoam valtav mahdollisuud koko suome tarvits rautat jäämer sekä toimiv liike lentoliik ja tietoliikenneyhteyd
Suomen Sosialidemokraattinen Puolue,halua ol vaikuttam niih lainsäädäntö ja resurssipäätöks jotk vaikuttav yhteiskun turvallisuuskysymyks seura ja tarvitae reago nuorisotyöttömyyt nuort syrjäytymis ja osa myös maahanmuuto ilmiö
Suomen Kristillisdemokraatit (KD),maaseudu asuv kansalaist tasavert palvelu saatavuut koulutuks terveydenhuolo asumis joukkoliikent hajautetu energiantuotanto innovatiiv palveluntuotanto yrittäj paremp sosiaaliturv
Suomen Sosialidemokraattinen Puolue,työllisyys syrjäytymis ehkäisemin lapsiperh ja vanhusväestö tila nuorisotaku
Suomen Keskusta,teema ova talout työllisyyt terveyt ja turvallisuut liittyv asia suome taloud kunto saattamin on tärk as velkaantumin on pysäytettäv ja yrittäjyyd edellytyks on parannettav sekä tuot jatkojalostu on lisättäv harm taloud kitkemis on osoitettav lisäresurs n 10 miljard euro jää vuositaso valtio verotulo saamat ja me muut maks nämä vero verotuks tule ol oikeudenmuk ja sen tule kannust työhö ja yritteliäisyyt harm talous est nimenom rehellist yrittäj pärjääm me jokain voim osallistu suome taloud kunto saattamis ostam enem suomalais tuot ja käyttäm kotimais palvelu site pysty säilyttäm työpaiko lähiseudu ja kotim biotaloud kehittämis saada työpaiko koko suome biotaloud tarv lisäpanostuks koulutuks sekä tutkimus ja kehittämistoimin julkis investoint tule vauhdit jot työllisyyt saada parannetu ja kulutu lisäty työn vastaanottamin tule tehd kannustav nuort työllisyyt ja työs jaksamis tule panost ja osatyökykyist työssäolo edist sopimusyhteiskun tule pitä huol sosiaal ja terveydenhuolto liittyv uudistuks ova tärk jois halua ol muka tekem oikeudenmukais päätöks lähipalvelu turvat seuraav hallituks on palautettav suomalaist luottamus terveydenhoido tulevaisuut ennaltaehkäisev työhö on saatav lisäresurs omaishoido tuki on siirrettäv kela maksatuks ja luotav yhtenäis kriteer jolo jokais joka täyt kriteer on mahdollisuus saada tuke kannat omaishoitaj vapaapäiv järjestämis samantyyp lomitusjärjestelm kuin on maatalouslomituks jolo lomittaj tule kot ja vapaut omaishoitaj turvallis miel om asio ja ansaitu lakisääteis vapaapäiv myös äkillist tilant vara on oltav riittäv intervallihoitopaiko ikääntyv turval koto asum on tuettav tietojärjestelm yhteensovittamis vapau tarvittav lisäkäsipar perustyö niin kotihoido kuin laitoshoido arj turvallisuut tule lisä ehk syrjäytym ja vähent eriarvoisuut kotimais puh ruuan tuotanto on turvattav ja viljelijö taloudellis pärjäämis ja jaksamis tule huoleht ylein asevelvollisuus tule säilyt ja suomi pitä puolueettom ja sotilaallis liittoutumattom meidä on paremp toim lääkär kuin tuomar kansainvälis poliittis kysymyks ja pitä päätösv om käs ole aktiivin toimeentartu ja luotettav joukkuepelaaj vaalislogan on sisu ja sydäm tule muka laite suomi kunto
Kansallinen Kokoomus,yhteinäis vahv ja elinvoimais itäsuom ete pitä tehd työtä on panostettav koulutuks alueellis erityisvahvuuks innovaatio ja yrittäjyyt tukev toim tarvits toimiv yhteyd erityis maantieverkosto kaipa pika kunnostu alemp tieverkosto myöte meidä pitä ol saavutettav rautateits ja ilmateits laajak kaikillehank on saatettav päätöks tarvis sosiaal ja terveyspalvelu toimv tasavertais palvelukokonaisuud jos ihmin on tärk palvelusuosituks minim ei saa ol lopu se maksim mitä palvelu sats laatu on se mil mita palvelu eikä vain pelk raha matkailu ei saa jäädä vain pelk lupauks vaan siitä on saatav vahv elinkeino
Vihreä liitto,kansanedustajaehdok ole valinu vaaliteemo last nuort ja perh sekä vanhust kokonaisvaltain hyvinvoint liikun elämän jokapäiväis ark sekä yrittäjyyd ja työn tekemis arvostamin
Vihreä liitto,tahdo tasaarvois työeläm inhimil perhepolitiik sekä laaduk opetu ja tutkimu aina varhaiskasvatuks tutkijanur ast tahdo vähent köyhyyt ja katk eriarvoistumis kiihtymis parantam perusturv uudistam sosiaaliturvajärjestelm ja lisääm terveyspalvelu saavutettavuut tahdo lisä liike ja liikunt yhteiskun kaik toiminto terveyd ja hyvinvoin edistämis
Perussuomalaiset,halua puolust suomalaist oma päätäntävalt joka merkits sitä et yksinom kans on oikeus päät om asio
Suomen Kristillisdemokraatit (KD),taloud tasapainottam yrittäjyyd tukem työttöm työllistym perh tukem vanhust hoido parantam
Suomen Kristillisdemokraatit (KD),halua panost ennaltaehkäisev toiminto vauva vaar panostuks matal kynnyks palvelu ja yhd luuku periaat perhetyö etsiv nuorisotyö omaishoido tukemin
Perussuomalaiset,1 yrittäjyys ja nuore pienyrittäj asem on suome tukal tun palj pienyrittäj ja ole tietoin heidä haast niin työntekijö palkkaamis veroasio terveydenhuolo työttömyysturv jne osa yrittämis on saatav parem edellytyks ja en kaik nuor yrittäj nuor on tämä kansakun tulevaisuus ja nyt me laiminlyö heidä pärjäämisedellytyksiä talousvaliokun on kiinnostav 2 valtio taloud tasapainotus nykyis vallanpitäj antav ymmärt et meidä on elettäv vela ja raha ei riitä kuite viimeis 130 vuot suome uude sukupolv varallisuus on aina n 2kertain verratu heidä vanhemp eli kyl varallisuut kertyy mut se kanavoid väär ja ohj ulkom valtiovarainvaliokun kiinnost 3 urheilu liikun kulttuur näide asio edistämin ja integroint koko elämänkaar aja on erit hyödyl kansantaloudellis niil on ennaltaehkäisev vaikutus tulevaisuud ja terveydenhuolo kustannuks pienenev tai pysyv sama taso vaik väestö kasv sivistysvaliokun kiinnost 4 eläkeläist toimeentulo suome eläkeläist määrä kasv koko aja he ova tehn oma osa et meil on arvostetu ja vauras yhteiskun heidä toimeentulo on turvattav jot he voiva naut aktiivis
Suomen Kristillisdemokraatit (KD),valtionvel kasvu hillitsemin palvelutuotano tehostamin työllisyyd kasvu esim tulo ja alvverotus uude teollisuus ja koulutustuot tuki myös pkyrityks monikulttuurin kilpailukyky sote maal
Suomen Kristillisdemokraatit (KD),länsimais demokratia luovuttamattomuut edist koko suome maan pitäm asutu työllisyyd runs lisääntym
Suomen Keskusta,tuke tarvitsev työssäkäyv ja pienyrittäj
Suomen Kristillisdemokraatit (KD),halua edist yrittäjyyt työllisyyt och sosiaalipolitiik uudistam
Perussuomalaiset,maahanmuuttopolitiik on järkeistettäv pienyrittäjyyd tehtäv todellin vaihtoehto palkkatyö ja nuort asia on vihdo otettav politiik keskiö kansalaist kiusaamin turh byrokratia ja kielo on lopetettav on myös huolehdittav eläint oikeuks jotk koskettav kaik suomalais
Perussuomalaiset,oikeudenmukaisuus ja inhimillisyys päätöksenteko yrittäjyyt helpotettav vähem sääntely ja site lisä työllisyyt onnellin ja arvokas vanhuus eläk järk nuoriso ja pitkäaikaistyöttömyys saatav vähenem enemmistö ääni takais päätöksenteko maanpuolustus on itsenäis suome selkärank rikost uhrej sekä koulu ja työpaikkakiusatu suojeltav
Suomen Keskusta,keskust viisi tavoit vuode 2025 ova â €¢ kode voida hyv hyvinvointiero kapenev â €¢ suomi osaamis ja uus oppimisympäristöj kärkim â €¢ suomi julkis sektor johtamis byrokratia purkamis digitalisaatio ja kokeilu mallim â €¢ suomi biotaloud kiertotaloud ja kestäv kehityks edelläkävij â €¢ koko suome 200 000 työpaik lisä talous 2 prosent kasvuur työnteko ja yrittäjyyt vahvistam ja vela elämin lopu
Suomen Kristillisdemokraatit (KD),1 työllisyys 2 koulutuks resurs 3 verotuks kehittämin 4 uskottav maanpuolustus 5 kotimain bioenerg
Suomen Kristillisdemokraatit (KD),last ja nuort ja lapsiperh hyvinvoin edistämin ikäihmist hyvä hoido ja hoiva varhais kuntoutuks ja hyvinvoint tukev turvallis elinympäristö ja sosiaalis verkosto rakentamis puole yrittäj tuke työllistämis terveyspalvelu tasapuolisuus ja painopist ennaltaehkäisev ja kuntouttav ote kestäv kehityks kierrätyks ja uusiutuv energia puolestasähköist palvelu yleistye turvattav ikäihmist palvelutarp
Kansallinen Kokoomus,kärkiteemo ole nostanu pienyrittäj tukemis ennaltaehkäisev perhepalvelu sekä itämer suojelu
Suomen Keskusta,tärkeim teema ova perh tyã –llisyys ja koulutus ja kulttuur ole sitä miel et perh on huolehdittav oli kyse sit erilais lapsiperh omaishoido tai yksineläj työn tekemis ja työntekij palkkaamis tuli ol mutkaton suome tule jatko panost koulutuks eikä kulttuur saa unoht
Vihreä liitto,halua edist kansanterveyt puh ruokakulttuur rakentam julkis hyvinvointipalvelu ja ympäristö hyvinvoinit
Suomen Sosialidemokraattinen Puolue,sote uudistu järkev suun
Suomen Keskusta,alueellist mahdollisuuks hyödyntäm suome parh uus teknologio ja innovaatio käytö ottam jot suome kilpailukyky paran avoimuut osallistavuut ja vuorovaikutu
Vihreä liitto,mis on läh terveyskeskus tai mielenterveystoimisto ja pääse sin nopeast riittäv kunt raha yksityist sosiaal ja terveyspalvelu lisä sosiaal ja terveydenhuolo uudelleenjärjestämisl oli pohjim kyse täs teen töitä eduskun hyv kunnallist sosiaal ja terveyspalvelu puolustamis mets joet järv ja suot tarvitsev puolustaj luono monimuotoisuus on turvattav saastumin on laitettav kur ja ilmastonmuutos vaati teko pitäm ympäristö huol vaiku ihmist hyvinvoint pide suomi suvaitsevais
Perussuomalaiset,työllistym vanhustenhoito sekä perhepolitiik
Kansallinen Kokoomus,halua edist ihmist hyvinvoint ja oikeudenmukaisuut yhteiskun
Vihreä liitto,vapaut vastu ja välittäm ympäristö kunnioitae
Suomen Kristillisdemokraatit (KD),toimeentulo hankkimis mielek ytunnuks alennusmyynt
Suomen Sosialidemokraattinen Puolue,monipuolin koulutu ja kokemu aut minu ymmärtäm mite luom investoint yrittäjyyt työtä toimeentulo ja verotulo niil yhteis palvelu rahoitet ja tuote suome ei pidä sääst heng vaan on uskallettav rohkeast luoda uut
Perussuomalaiset,minu on lukuis tavoit m yrittämin tule saada kannattav ja lähipalvelu tule turv keskittämis sija
Suomen Sosialidemokraattinen Puolue,halua vähent työttömyyt se onnistu jos mikroyrityst toimintaedellytyks korj maahanmuuttaj suome kiele opetu on lisättäv
Perussuomalaiset,ole perussuomalaist vaaliohjelm taka aja ohjelm kokonaisuud
Vihreä liitto,minu tärk teemo ova laps oikeud ja asem yhteiskun rajallist resurs kustannustehokas käytö sekä ihmist oikeudenmukain ja tasaarvoin kohtelu jokais laps on oikeus hyvä eläm ja turvallis ark sosiaal ja terveydenhuolo riittäv resurs ja tasaarvois palvelu on turvattav syrjäytymis pitä puutu joka taso ja ongelm kasaantue yhteiskun turvaverko pitä toim verotuks painopist on siirrettäv työn ja yrittämis sija kulutuks ja ympäristö kuormittav toimin verottamis päätöst teko on saatav ekolog sosiaal ja taloudel kestävyyt
Vihreä liitto,perustulo käytö ottamin turkistarhauks kieltämin ympäristöministeriö asem vahvistamin luonnonsuojeluohjelm toteutumis edistämin uusiutuv energiantuotantomuoto kehittämin
Vasemmistoliitto,valtio ja kunt väl vuorovaikutu verotuks oikeudenmukaistam työllisyyd lisääm koulutuks leikkaust estäm
Perussuomalaiset,lähe sydän ova erityis sosiaal ja terveysal mmsaattohoido lastensuojelu ja varhaiskasvatuks asio halua edist omaishoido tärkeyt halua korost ja omaishoitaj työl sen ansaitsem arvostu ole maahanmuuttokriittin ja toivo et leikkauks tehd m maahanmuuto kulu avoin keskustelu toivo myös enem ilm rasism leima
Vihreä liitto,halua aja sosiaal ja terveyspolitiik tasaarvo tuottav toimenpit yhteiskun tarvits uudistuks koht ihmislähtöisyyt ja välittäm
Perussuomalaiset,maam turvallisuud vastaav viranomaist toimin turvaamin kaik olosuht on päätavoit pakkoruots poistamin sekä hallitsemattom maahanmuuto suitsemin
Vihreä liitto,halua edist rakenteellist uudistust toteutum suome jot taloud peru saada kunto eivätk pienenev ikäluok joudu vastaam kohtuuttom vela vaikea päätöks edellyttäv meil useim vahvemp mukanaolo työmarkkino tämä on mahdol mikäl sama pide huol perh jaksamis työn ja kod yhteensovittamis on turvattav perh paremp ark kiristyv taloud
Vihreä liitto,talout uudistamin tarvits tuke ja est kaatam ympäristö asettam reunaehdo tule ot huomio tulevaisuud turvaamis murroks koht uudenl kaupunkilaisuut ja tietoyhteiskunt on otettav vakav
Suomen Sosialidemokraattinen Puolue,ihmist hyvinvoint paremp saatavuus palvelu laatu työeläm tuke ark ja perusturv pide huol tois ja raken tätä maata yhd
Vihreä liitto,halua toim tulev sukupolv ympäristöviis ja onnellis suome puole halua toim en kaik kuude asia puole 1 fiksu talous ja energiaremont saavu puh energiapolitiik seurauks päästötavoit ja syny suome kymmeniätuhans uus työpaiko investoi energiatehokkuut uusiutuv energia ja kestäv hank kute raideliikent ja pyöräilyy saam energiaomavaraisuud 85 miljard euro lisä kotimais talout suomi pärj panostam osaamis ja innovatiivisuut 2 luonnonsuojelu suojel eteläsuom mets 10 ja toteu soidensuojeluohjelm viipymät 3 ruuantuotano muutos pidä huol itämer maataloud ravinnekuormitu pienentäm ja luomutuotanto lisääm paran tuotantoeläint hyvinvoint ja lakau turkistarhauks suosi terveel kasvisruok 4 hyvinvoin lisäämin kaven tuloero verotuks keino ja ota käytö perustulo helpo työllistym lyhentäm työaika ja jakam työtä tasais tuem sosiaal yrittäjyyt ja vahv pienyrittäj sosiaaliturv lisä raha matal kynnyks liikuntaharrastuks 5 lapsiperh asia jaam vanhemmuud kustannuks tasais ota käytö 666 perhevapaamal säily subjektiivis päivähoitooikeud 6 kukoistav kansalaisyhteiskun lisä ihmist vaikutusmahdollisuuks suor kansanäänestyks vapau julkis varo tuotetu tiedo kaik luom alust kokeilukulttuur â €“ valj uude teknologia tietoyhteiskun ja joukkoäly palvelem hyvinvoint
Kansallinen Kokoomus,työn määrä on lisättäv valtiontalous on saatav kunto suome on kehitettäv kansainvälis ja avoim yhteiskunt
Suomen Keskusta,ihmist hyvinvoint yhdenvertais mahdollisuud peruspalvelu ja valinnanmahdollisuuks edistämin terveysero kaventamin perh last hyvinvoint työ ja perheeläm yhteensovittamin koulutuks laadu turvaamin ympäristö resursoint uusiutuv energiamuoto ja omavaraisuut panostu ympäristöosaamis ja teknologia jot voim luoda uus työpaiko kiertotaloud edistämin
Suomen Sosialidemokraattinen Puolue,halua ol rakentam suome jos kansalais on työtä ja toimeentulo siihe liityy koulutus ja osaamis kehittämin se et on riittäv työtä mahdollist tuke tarvitsev hyvä eläm
Suomen Sosialidemokraattinen Puolue,työllisyys ja työsuhdeturv kehittämin sekä lapsiperh asia ova keskiö luontev oma taus vuoksiikääntyn sosiaalin turv on myös varmistettav
Suomen Sosialidemokraattinen Puolue,lap liikenneyhteyks kaivosvero aloittav pienyrittäj velvoit keveny
Vihreä liitto,halua taata riittäv perusturv kaik siks aja perustulo perustulo lisäi myös työllisyyt kosk se kannustai ottam vas työtä köyhyyt on torjuttav sekä kansallis et kansainvälis taso sivistyn yhteiskun yks mittar on se mite se pitä huol heikoim nuort mielenterveysongelm ennaltaehkäisyy ja hoitamis tarv lisä määräraho ja henkilöstöresurs halua suoje nyky parem soita mets ja vesistöj vaad myös kunnianhimois päästövähennyks ja energiaremont joka perustu uusiutuv energiamuoto lisäämis tulevaisuud työpaiko synnyt uusiutuv energiamuoto alo vaad lisä luonnonsuojelualue halua kehit määrätietois joukkoliiken et se oli yhä helpomp ja kilpailukykyis valin suure määrä ihmis vaad työeläm ja koulutuks tasaarvo nämä kulkev käsi käde sil koulutusvalin määrittäv palj myös tulevaisuud työur en kan lukukausimaksu koulutuks on säilyttäv maksuttom suome on pidettäv kiin myös korkeatasois ja laaduk perustutkimuksest vaad et suomi pitä kiin kansainvälis sitoumks ja tavoittel kehitysyhteistyömääräraho yk suosittam taso eli 07 prosent bruttokansantulo suome on hyvä mahdollisuus tehd tehok työtä rauhanvälityks ja rauhanrakentamises siviilikriisinhallin on suunnattav lisä määräraho sil se pyrk myös konflikt ennaltaehkäisyy
Suomen Keskusta,erityis tule puuttum kasvav eriarvoisuut niin sosiaalis taloudellis kuin alueelllis ole vahv sivistyspolitiiko jote koulutuspolitiik asia ova tärk ja usko pienyrittämis voima lyhyest sanotu sivistyks osaamis ja pienyrittäjyyd puole eriarvoisuut vas
Kansallinen Kokoomus,maanpuolustuks resurs varmistam uskottav puolustuskyvy takaamis jatko kokonaisveroast kääntäm lasku sekä palkansaaj yrittäj et eläkeläis taloud ja työllisyyd kunto saattam
Vihreä liitto,ole kampanj keskittyny yrittäjyyt talout ja ilmasto nämä tulev olem myös ne alue joih keskity tulev vaalikaud jos minu val tarvits lisä pienyrittäj ja meidä on helpotettav pient yrityst työntekijö palkkaam meidä on tehtäv myös päätöks ilmasto lämpenemis hillitsemis
Kansallinen Kokoomus,suome aktiiv rool kansainvälis kute eus yk ja nato järkev ulkopolitiik turhan sääntely vähentäm pient yrityst toimin tukem inhimillis päätöks jotk vahvistav ihmisoikeuks yksilö vastu kasvattam toim luonnonsuojelu ja eläint oikeuks parantam
Vihreä liitto,pidä erityis tärkeä yhdenvertaisuud laajaal edistäm ja ympäristö elinkelpoisuud säilyttäm ilmastonmuutos on pysäytettäv nyt jot kene ei tarvits kärs men sukupolv virh ympäristö elinkelpoisuus hyödyt meitä kaik ja ympäristöystävällisyyd on suome teknologiateollisuud tulevaisuus vahv hyvinvointivaltio taka kaik yhdenvertais mahdollisuud elä terv hyvinvoiv ja työkykyis koulutusjärjestelm kehittämin ja riittäv rahoituks takaamin on ensisijais tärkeä sil laadukas ja yhdenvertain koulutusjärjestelm edist jokais mahdollisuut val oma suun varallisuud perhetaust ja kotikun riippumat perustulo takai minimitoimeentulo kaik elämäntilant riippumat teki työnteo kannattav sosiaaliturv vara eläv ja mahdollistai joustavuud työmarkkino ilm pelko toimeentulo riittävyyd kaik suuritulois verotu on kiristettäv ja aggressiivis verosuunnittelu puututtav jot hyvinvointivaltio taloudellin vakaus saada turvatu inhimillis ja avoim maahanmuuttopolitiik edist ihmisoikeuks toteutum ja on myös suome etu sil tarvits lisä työikä väestö sukupuolt ja seksuaalisuuks väl yhdenvertaisuut edist purkam sukupuolisyrjiv rakent niin työeläm ja vanhemmuud kuin asevelvollisuusjärjestelm kohd translak on uudistettav
Vasemmistoliitto,hyvinvointivaltio on jälleenrakennettav hyvä talouspolitiik luoma työllisyyd avu
Perussuomalaiset,suome kansalaist hyvinvoint ja pkyrittäj elinvoimaisuut keskisuom maakun kehittäm ja koko maan pitäm asutu oikeudenmukaisuut ja kansallis etu päätöksenteko
Vihreä liitto,tärkeimp tavoit ova ennaltaehkäisev terveyspalvelu sekä kulttuur ja liikun rahoituks varmistamin syrjäytymis ehkäisy ja perustulo energiapolitiik renesans uusiutuv ja luopumin turp soide mets ja uhanalaist eläint suojelu verotuks painopist kulutuks ja ympäristö haitallist tuk karsimin tuotantoeläint paremp kohtelu liberaal alkoholipolitiik sekä tasaarvo edistämin ja rauhantyö suome ulkopolitiik tärk välin
Kansallinen Kokoomus,turvallisuus talous ja tulevaisuud suome rakentamin työllisyyd edistämin ja yritystoimin edellytyst parantamin
Vihreä liitto,uude materiaalis kiertotaloud ja uusiutuv vähä energia kuluttav taloud rakentam luono monimuotoisuud turvaamin vanhust ihmisarvoin goito kansalaisyhteiskun vahvistamin
Suomen Kristillisdemokraatit (KD),talout kulmakiv vient elpymin vaati passiivis odottelu sija aktiivitoimenpit puolust perh liikennepolitiik yksityisautoilu merkitys on tunnustettav joukkoliikent rin suome julkin talous on tasapainotettav tulev vaalikaud
Kansallinen Kokoomus,vientiyrityst kasvu ja työllisyyd nosto 75 prosent työikäis on paras keino lopet velkaantumin ja sama turv palvelu
Kansallinen Kokoomus,halua kehit alue työtilan ja hyvinvoint tämä tapahtu kehittäm toimeentulo edellytyks ml yrittäjyyt hyvinvoin edistämin läht työhyvinvoin ja työs saatav ansiotulo työn ja palvelu jakautumin lisä hyvinvoint
Suomen Keskusta,tärkeim teema minu ova talous sosiaalin oikeudenmukaisuus ja yrittäjyys kestäv kehitys sekä ulko ja turvallisuuspolitiik
Vihreä liitto,halua edist ekologis taloudellis ja sosiaalis kestäv yhteiskun toteutum
Suomen Keskusta,suome tarv työtä mikä edellyt yrittäjyyd edellytyst parantam hyvinvointivaltio rakent on myös pako uudist tun parhait yrittämis koulutuspolitiik perh ja vanhuspolitiik sekä sosiaal ja kuntapolitiik liittyv asio
Suomen Kristillisdemokraatit (KD),varhaiskasvatuslak saata vihdo maal parh mahdollis lak joka kestääâ €¦matal kynnyks palvelu kaik tarvitsij ikä katsomat ilm byrokratia
Perussuomalaiset,liikentees tiestö ajoneuvoverotuks ammattiliikent liittyv asia last ja vanhust asia m omaishoitaj jätevesiasetuks liittyv asia pol suome turvallisuus
Vasemmistoliitto,inhimillin talouspolitiik on menestyks edellytys ympäristö ja energiatarp kestäv työtä koko suome ja häme perustulo on järkeistäm lapsiperh ja koulutus tuottav tulevaisuut ikäihmist tuoma arvo unohtamat
Suomen Sosialidemokraattinen Puolue,miele politiik tule ensisijais tähd oikeudenmukais yhteiskun rakentumis suome asuv tule ol työtä ja mahdollisuus hyvä eläm yhteiskun tule rakentu site et vero maks kantokyvy muka ja kaik heikoim pide huol tärkeimp lähtökoht on se et jokais on yhtäläin mahdollisuus menesty ja valtio tule huoleht siitä et tämä mahdollisuus toteutu suome pitä kiinnit yhä vahvem huomio last ja lapsiperh pärjäämis ja koulutuks näitä asio tule edistäm kansanedustaj mikäl tule valitu
Suomen Sosialidemokraattinen Puolue,työllisyyd parantamin sekä pieni ja keskituloist palk ja eläkkeensaaj itsensätyöllistäv lapsiperh vanhust ja vammaist arj parantamin sekä julkist palvelu puolustamin ja kehittämin ova ol ja tulev olem perustehtäv politiik sekä kuntataso et eduskun
Suomen Sosialidemokraattinen Puolue,suome työllisyyd ja osaamis lisääm puolust peruspalvelu julk terveydenhoito ja perusopetu
Suomen Keskusta,lähiliikuntapaik turvattav työn vastaanottamin aina kannattav kuin koto olemin halua ol muka luoma työpaiko ja auttam suome saavuttam eun ilmastotavoit
Suomen Sosialidemokraattinen Puolue,politiik on puolustettav niitä joide ääni ei kuulu tai jotk eivä jaks tai kyken pitäm edu huol vähävarais syrjäytyn pitkäaikaistyöttöm laps eläkeläis ja vammais laaduk hyvinvointipalvelu tasaarvo ja demokratia suomal työtä ja laaduk työeläm
Suomen Sosialidemokraattinen Puolue,soteuudistuks toteuttamin monikanavarahoituks purkamin ja työnpaiko synnyttämin
Suomen Sosialidemokraattinen Puolue,aja kaupunkilaist ja kaupunk erityis pääkaupunkiseudu etu näkökulm on yht paikallistaso toisa kestäv kehityks toteuttamin siinä kaupung ova avainasem
Suomen Kristillisdemokraatit (KD),päätöks tule huomioid nyky parem niide vaikutuks heikoim asem olev kansal kute laps ja nuor lisä työnteo tule ol kannattav ja yrittäjyyd ei saa rank
