party,work_for
Suomen Sosialidemokraattinen Puolue,"Työllisyyden parantaminen ja uudet työpaikkojen luominen ovat ehdottomasti tärkeimmät asiat, joita haluan edistää. Kannan huolta myös lapsiperheiden hyvinvoinnista ja ikäihmisten toimeentulosta.."
Suomen Keskusta,"Lapin luonnonvarojen järkevä hyödyntäminen: matkailu, puu, turve, vesivoima ja kaivannaisteollisuus.     Koulutuksen saatavuuden turvaaminen Lapissa. Lapin elinvoimaisuuden kehittäminen."
Perussuomalaiset,"Humanitaarisen maahanmuuton ja monikulttuurisuusideologian jarruttaminen on pääteemani. Humanitaarinen maahanmuutto on lopetettava kokonaan. Katastrofaalinen taloustilanteemme vaatii rohkeita ja nopeita kansallisesti itsekkäitä päätöksiä. Haluan olla kakun tekijä ja ottaa suuria loikkia kohti energiaomavaraisuutta, eli saattaa ydinvoimahankkeet ripeästi maaliin. Haluaisin tuoda roppakaupalla kansallista itsekkyyttä EU:n direktiivejä kohtaan. Ajaisin auto- ja polttoaineveron roimaa alennusta. Jatkaisin pakkoruotsin purkamista. Lopettaisin tehottoman kehitysavun. Ampuisin alas tuulivoiman takuutariffin jne. Kilpailukyky on kertakaikkiaan välttämätöntä palauttaa. Vain sitä kautta saamme työtä ja vain työn kautta saamme hyvinvointia jaettavaksi."
Perussuomalaiset,Byrokratian purku sekä kunnallisen itsemäärämisen oikeuden säilyttäminen
Vasemmistoliitto,"Työllisyyttä, tasa-arvoa, veropakoilun sekä harmaantalouden ehkäisemistä, heikompi osaisten asioiden eteenpäin viemistä, palvelujen laadun parantamista, bioenergian kehittämisen tukeminen"
Suomen Kristillisdemokraatit (KD),Haluaisin keskittyä työllisyyden parantamiseen. Toinen tärkeä asia on katkaista Suomen velkaantuminen ajoissa.
Suomen Sosialidemokraattinen Puolue,"Työelämään liittyviä epävarmuustekijöitä on vähennettävä (nollatyösopimukset, osa-aikatyöt jne). Yksinyrittäjien ja pienyrittäjien asemaa parannettava. Työttömille töitä ikää katsomatta."
Suomen Kristillisdemokraatit (KD),#NIMI?
Kansallinen Kokoomus,#NIMI?
Suomen Kristillisdemokraatit (KD),Yleisimmin kansalaisen suurin palveluntarve sijoittuu elämän alku- ja loppupäähän. Lapsiperheitä on tuettava ja vanhuksille kyettävä takaamaan arvokas elämän ehtoo. Palvelujen lisäksi haluan keskittyä talouden tasapainottamiseen ja julkisten järjestelmien yksinkertaistamiseen.
Perussuomalaiset,"Vanhukset, nuoret, puhdas suomalainen ruoka, terveys ja turvallisuus."
Vasemmistoliitto,"Parempaa tasa-arvon ja demokratian toteutumista, parempaa terveydenhuoltoa, tuoda esille TTIP:n epäkohtia sekä edistää vanhusten ja lapsien sekä lapsiperheiden palveluita."
Kansallinen Kokoomus,Haluan edistää Suomen talouden nousua ja tehdä Suomesta turvallisen paikan elää ja tehdä työtä.
Kansallinen Kokoomus,"Nostaa Suomen jälleen maailman taloudellisten huippumaiden joukkoon, huomioiden ratkaisuissani ekologiset asiat. Pitää huolta maamme korkealaatuisesta koulutuksesta. Rakentaa sellaisen sosiaalisen ja taloudellisen mallin, joka on oikea-aikaista, vaikuttavaa, tehokasta ja kustannustehokasta. Tehdä Suomesta vielä entistäkin tasa-arvoisemman maan sen kansalaisille. Parantaa maamme sekä sisäistä että ulkoista turvallisuutta."
Suomen Sosialidemokraattinen Puolue,Minulle tärkeitä asioita edistää ovat kansalaisten työllisyys- ja hyvinvointiasiat sekä eriarvoisuuden vähentäminen. Sosiaali- ja terveyspalvelut ovat erityisen lähellä sydäntäni.
Perussuomalaiset,Sote-uudistus on saatava kuntoon. Koko Suomessa on jokaisen saatava parasta mahdollista hoitoa iästä tai varallisuudesta riippumatta.
Perussuomalaiset,"Suomen etu on suomalaisten hyvinvointi, ensin omat asiamme kuntoon, sitten voimme auttaa muita."
Vasemmistoliitto,"Heikompiosaisten, lapsiperheiden, vanhusten, eläkeläisten sekä nuorten, syrjäytyneiden ja työttömien, parempaa kohtelua pitää puolustaa. Oikeudenmukaisempaa vero kohtelua.  Työmarkkinat oikeudenmukaisilla ehdoilla"
Suomen Sosialidemokraattinen Puolue,"Hyvinvointi; niin työssä, opiskelussa, asumisessa kuin arjessakin. Tasavertaisuus; jokaisella ikään, kokoon, uskontoon tai tapaan liikkua on yhtäläiset oikeudet itsenäiseen elämään. Liikenneturva; teistä on tehtävä turvallisempia ja liikennekasvatusta lisättävä."
Suomen Kristillisdemokraatit (KD),"Tasa-arvo, koulutus, perhearvot ja itsenäinen Suomi."
Kansallinen Kokoomus,"Työtä, taloutta, kasvua ja välittämistä Suomeen."
Vihreä liitto,Tärkeitä Asioita.
Vasemmistoliitto,"Suomi häviää veroparatiiseihin enemmän kuin otamme velkaa. Raha on pois rehellisiltä veronmaksajilta ja yrityksiltä, jotka maksavat pinnareidenkin puolesta, sekä palveluiden rahoituksesta ja työpaikkoja synnyttävästä kulutuksesta.    Yrityksiä on velvoitettava maakohtaiseen kirjanpitoon, pankkisalaisuusvaltioiden rahaliikennettä on verotettava tuntuvasti, hallintarekisterien veronkierto on lopetettava 30 % lähdeverolla ja verotukseen on luotava eurooppalaisia vähimmäistasoja."
Vasemmistoliitto,Työllistävää ja elvyttävää talouspolitiikkaa. Tuloeroja kaventavaa ja oikeudenmukaista veropolitiikkaa. Palvelut turvavaa ja terveyseroja kaventavaa sosiaali- ja terveyspolitiikkaa. Kestävää ja kunnianhimoista ympäristöpolitiikkaa.
Kansallinen Kokoomus,"Olen laadukkaan koulutuksen, kestävän talouspolitiikan ja tasa-arvoisen työelämän rakentaja. Ihmisen mittaisten lähipalvelujen â€“ päivähoidon, perusopetuksen, terveys- ja vanhuspalvelujen â€“ edistäjä. Valinnanvapauden vauhdittaja."
Suomen Keskusta,"Eriarvoisuuden vähentäminen, me - hengen kasvattaminen, rakentavaa yhteistyötä ja rohkeutta kyseenalaistaa vanhoja toimintatapoja ja -kulttuureja"
Vihreä liitto,"Päätöksenteon tulee nojautua tietoon ja tosiasioihin, kuunnellen viimeisimpiä tutkimustuloksia.   Tahdon myös tuoda esille suomalaisen osaamisen ja opetuksen korkean tason ja edistää niiden tuotteistamista vientimarkkinoille luomaan Suomeen uusia työmahdollisuuksia."
Suomen Keskusta,"Kannustan päätösten tekijöitä pysymään kohtuudessa ja kiinnitämään huomiota päätösten vaikutusten arviointiin. Lähinnä sydäntäni ovat koulutus, biotalous ja sujuva arki."
Kansallinen Kokoomus,"Valtion talouden tervehdyttämistä, tarpeettomien tehtävien ja säännösviidakon karsimista, sivistystason kohottamista ja arjen turvallisuutta"
Kansallinen Kokoomus,"Kilpailukyvyn ja yrittäjän myönteisen ilmapiirin palauttaminen, ilmaisen koulutuksen, laadukkaan terveydenhoidon ja arvokkaan vanhuuden turvaaminen kaikille."
Perussuomalaiset,"Kuten vaaliteemani, minulle tärkeät asiat liittyvät yhteiskunnan epäkohtiin, ja asioihin mitä olisi syytä muuttaa. Turvallisuus ja sen tärkeys jokaiselle suomalaiselle konkretisoituu työni kautta. Lähipalvelut on säilytettävä. Kunnallista itsemääräämisoikeutta ei saa rajoittaa. Kyläkoulujen ylläpitokuluihin ja saneerauksiin on korvamerkittävä euroja, jotta niiden huonon kunnon takia lopeteta, ja lapsia ruveta siirretä toisiin kouluihin. Lapsiin ja nuoriiin on panostettava. Koulutukseen ei saa kohdistaa säästöjä. EU-politiikan suuntaa on muutettava. Tukipolitiikka on hyvin vahingollista ja Suomen maksamista jäsenmaksuista on käynnistettävä neuvottelut niiden kohtuullistamiseksi. Pk-sektoria on kaikin mahdollisen toimin tuettava, jotta työllisyys saadaan taas kasvamaan. Vanhustenhoitoon ja varsinkin kotihoitoon on satsattava. Usein epäkohdat liittyvät tekevien käsien ja ajan puutteeseen. Työtä tekevää porrasta on kuunneltava paremmin kuin tänä päivänä."
Suomen Sosialidemokraattinen Puolue,"Suomen suurin ongelma nykyhetkellä on alhainen työllisyys, ja etenkin vientiteollisuuden ongelmat. Näihin ongelmiin meidän tulee löytää ratkaisu mahdollisimman nopeasti."
Perussuomalaiset,"Haluan edistää julkisen talouden tervehdyttämistä, pienyrittäjien asemaa, vapaata kielivalintaa, ryhdikkäämpää maahanmuuttopolitiikkaa ja Suomen etujen huomioimista EU:ssa."
Suomen Keskusta,"Maan talous on saatava kuntoon ja Suomi nousuun. Yrittäjyyden, työllisyyden ja maaseutuelinkeinojen kautta voimme saada taloutemme kasvuun.     Ulko- ja turvallisuuspolitiikan on oltava vakaata ja ennustettavaa. Suomen omat puolustusvoimat on oltava kunnossa ja puolustuksellemme on varattavat riittävät resurssit."
Kansallinen Kokoomus,Koulutusta ja yrittäjyyden merkitystä yhteiskunnalle. Elämää on myös pääkaupunkiseudun ulkopuolella
Suomen Sosialidemokraattinen Puolue,"Oikeudenmukaisuutta, vanhusten asumista, työelämään laki muutoksien kautta parannuksia, nuoret eivät saa joutua maksamaan tämän hetkisen päättäjien päätöksiä, maahanmuuttoon kiristyksiä,"
Suomen Keskusta,"Kouluksen ja työelämän yhteistyöllä saadaan Suomi nousuun. Työelämä yhteistyö pitää aloittaa jo peruskoulusta, lukiosta kuten ammattikoulussa jo tehdään."
Vasemmistoliitto,"Ihmisten yhdenvertaisuus, naisten oikeuksien turvaaminen (esim. aborttilain huonontamisen estäminen ja turvakotipaikkojen lisääminen, ympäristön suojelu, turkistarhauksen lakkauttaminen."
Vihreä liitto,Kannustavampaa yrittäjyyttä. Lähellä tuotettua ruokaa ja palveluja. Byrokratian vähennystä. Energian omavaraisuutta. Koulutuksen tärkeyttä. Vanhusten aseman parantamista.
Kansallinen Kokoomus,"Näen, että Suomi tarvitsee suunnanmuutoksen. Se on välttämätön erityisesti velat maksavan tai velkataakan alle musertuvan nuoren sukupolvemme näkökulmasta. Muutos saadaan aikaan konkreettisilla järkiratkaisuilla. Ennen kaikkea tarvitsemme lisää työtä ja joustavammat työmarkkinat, maailman parhaan koulutuksen sekä veturiksi menestyvän Helsingin metropolialueen.     Katso 50 konkreettista ratkaisua Suomen ongelmiin verkkosivuiltani."
Suomen Sosialidemokraattinen Puolue,"Hyvinvointi syntyy työstä, kotimaiseen energiaan ja turvallisuuteen panostaminen luo työtä."
Suomen Kristillisdemokraatit (KD),"Tärkeimpänä asiana on tasapuolisuus ja heikommista huolta pitäminen päätöksenteossa, sekä päätösten vaikutusten arviointi."
Perussuomalaiset,Nuorten työllistymistä ja ehkäistä syrjäytymistä. Luoda uusia työvälineitä uusien työpaikkojen luomiseksi.
Vasemmistoliitto,Työllisyyden kohentamiseen vaikuttaviin asioihin sekä koulutukseen. Nuorten mahdollisuuksiin työllistyä Itä-Suomessa. Laadukkaisiin ja riittäviin vanhusten palveluihin. Perheiden hyvinvointiin!
Kansallinen Kokoomus,Suomalaisten yritysten kansainvälistä kilpailukykyä on nostettava. Pienten ja nuorten yritysten toimintaedellytyksiä on parannettava. Ilman yritysten luomia työpaikkoja ja uusia vientituloja rahamme eivät riitä ylläpitämään julkisia palveluja nykyisellä tasolla.
Kansallinen Kokoomus,"1) Hämeen maakunnallinen edunvalvonta. VT12, Kimolan kanava, Forssa-Tuulos -tie, Hartola-Joutsa -tie, Kouvolantie, Lahden kehätie, ammattikorkeakoulujen asema ynnä muut vastaavat keskeiset asiat, jotka vaativat valtakunnallista huomiota.    2) Talouskurin ylläpito. Valtio on ylivelkaantunut ja kokonaisveroaste hyvin korkea, joten valtiotalouden tasapainottamiseksi tarvitaan jämäkkää kulukuria.    3) Puolustuskyvyn ylläpito. Suomen puolustusvoimat tarvitsevat lisää määrärahoja, jotta reserviä voidaan kouluttaa ja asialliset kalustohankinnat suorittaa.    4) Maa- ja metsätilallisten aseman parantaminen. Metsänomistajana maaseudun haasteet ovat minulle tuttuja, ja sen tähden haluan toimia maaseutuelinkeinoista leipänsä saavien asiamiehenä."
Suomen Kristillisdemokraatit (KD),"- hyvinvointivaltion palvelut turvattava, palvelut ovat tärkeämpiä kuin rakenteet â€“ SOTE- ja sen mukanaan tuoma kuntauudistus pitää saada maaliin  - laadukas tutkimus ja koulutus luo pohjaa vientiteollisuuden mahdollisuuksille â€“ toisen ja korkea-"
Suomen Keskusta,"Elinkeinojohtajana tunnen lappilaisten yrittäjien haasteet, mutta myös Lapin tarjoamat valtavat mahdollisuudet koko Suomelle. Tarvitsemme rautatien Jäämerelle sekä toimivat liikenne-, lentoliikenne- ja tietoliikenneyhteydet."
Suomen Sosialidemokraattinen Puolue,"Haluan olla vaikuttamassa niihin lainsäädäntöihin ja resurssipäätöksiin, jotka vaikuttavat yhteiskunnan turvallisuuskysymyksiin. Seuraan ja tarvittaessa reagoin nuorisotyöttömyyteen, nuorten syrjäytymisiin ja osaltaan myös maahanmuuton ilmiöihin."
Suomen Kristillisdemokraatit (KD),"Maaseudulla asuvien kansalaisten tasavertaista palveluiden saatavuutta koulutuksessa, terveydenhuollossa, asumisessa, joukkoliikenteessä. Hajautettua energiantuotantoa, innovatiivista palveluntuotantoa, yrittäjien parempaa sosiaaliturvaa."
Suomen Sosialidemokraattinen Puolue,"Työllisyys, syrjäytymisen ehkäiseminen, lapsiperheiden ja vanhusväestön tilanne. Nuorisotakuu."
Suomen Keskusta,"Teemani ovat talouteen, työllisyyteen, terveyteen ja turvallisuuteen liittyvät asiat.  Suomen talouden kuntoon saattaminen on tärkein asia. Velkaantuminen on pysäytettävä ja yrittäjyyden edellytyksiä on parannettava sekä tuotteiden jatkojalostusta on lisättävä. Harmaan talouden kitkemiseen on osoitettava lisäresursseja. N. 10 miljardia euroa jää vuositasolla valtiolta verotuloja saamatta ja me muut maksamme nämäkin verot. Verotuksen tulee olla oikeudenmukaista ja sen tulee kannustaa työhön ja yritteliäisyyteen. Harmaa talous estää nimenomaan rehellisten yrittäjien pärjäämistä. Me jokainen voimme osallistua Suomen talouden kuntoon saattamiseen ostamalla enemmän suomalaisia tuotteita ja käyttämällä kotimaisia palveluja, siten pystymme säilyttämään työpaikkoja lähiseuduillamme ja kotimaassa.    Biotalouden kehittämisellä saadaan työpaikkoja koko Suomeen. Biotaloudessa tarvitaan lisäpanostuksia koulutukseen sekä tutkimus- ja kehittämistoimintaan. Julkisia investointeja tulee vauhdittaa, jotta työllisyyttä saadaan parannettua ja kulutusta lisättyä. Työn vastaanottaminen tulee tehdä kannustavaksi, nuorten työllisyyteen ja työssä jaksamiseen tulee panostaa ja osatyökykyisten työssäoloa edistää. Sopimusyhteiskunnasta tulee pitää huolta.  Sosiaali- ja terveydenhuoltoon liittyvät uudistukset ovat tärkeitä, joissa haluan olla mukana tekemässä oikeudenmukaisia päätöksiä lähipalvelut turvaten. Seuraavan hallituksen on palautettava suomalaisten luottamus terveydenhoidon tulevaisuuteen. Ennaltaehkäisevään työhön on saatava lisäresursseja. Omaishoidon tuki on siirrettävä Kelan maksatukseen ja luotava yhtenäiset kriteerit, jolloin jokaisella, joka täyttää kriteerit on mahdollisuus saada tukea. Kannatan omaishoitajien vapaapäivien järjestämiseen samantyyppistä lomitusjärjestelmää kuin on maatalouslomituksessakin, jolloin lomittaja tulee kotiin ja vapauttaa omaishoitajan turvallisin mielin omille asioilleen ja ansaituille lakisääteisille vapaapäiville. Myös äkillisten tilanteiden varalle on oltava riittävästi intervallihoitopaikkoja. Ikääntyvien turvallista kotona asumista on tuettava. Tietojärjestelmien yhteensovittamisella vapautamme tarvittavia lisäkäsipareja perustyöhön niin kotihoidossa kuin laitoshoidossa.  Arjen turvallisuutta tulee lisätä, ehkäistä syrjäytymistä ja vähentää eriarvoisuutta. Kotimaisen puhtaan ruuan tuotanto on turvattava ja viljelijöiden taloudellisesta pärjäämisestä ja jaksamisesta tulee huolehtia. Yleinen asevelvollisuus tulee säilyttää ja Suomi pitää puolueettomana ja sotilaallisesti liittoutumattomana. Meidän on parempi toimia lääkäreinä kuin tuomareina kansainvälisissä poliittisissa kysymyksissä ja pitää päätösvalta omissa käsissämme.  Olen aktiivinen toimeentarttuja ja luotettava joukkuepelaaja. Vaalisloganini on Sisulla ja Sydämellä. Tule mukaan, laitetaan Suomi kuntoon."
Kansallinen Kokoomus,"Yhteinäisen, vahvan ja elinvoimaisen Itä-Suomen eteen pitää tehdä työtä. On panostettava koulutukseen, alueellisiin erityisvahvuuksiin, innovaatioihin ja yrittäjyyttä tukeviin toimiin.  Tarvitsemme toimivat yhteydet ( erityisesti maantieverkostomme kaipaa pikaista kunnostusta alempaa tieverkostoa myöten. Meidän pitää olla saavutettavissa rautateitse ja ilmateitse. Laajakaista kaikille-hanke on saatettava päätökseen.  Tarvisemme sosiaali- ja terveyspalveluihin toimvan, tasavertaisen palvelukokonaisuuden, jossa ihminen on tärkein. Palvelusuosituksien minimi ei saa olla lopulta se maksimi, mitä palveluun satsataan. Laatu on se millä mitataan palvelua eikä vain pelkkä raha.  Matkailu ei saa jäädä vain pelkäksi lupaukseksi, vaan siitä on saatava vahva elinkeino."
Vihreä liitto,"Kansanedustajaehdokkaana olen valinnut vaaliteemoikseni lasten, nuorten ja perheiden sekä vanhusten kokonaisvaltainen hyvinvointi, liikunnasta elämäntapa jokapäiväiseen arkeen sekä yrittäjyyden ja työn tekemisen arvostaminen."
Vihreä liitto,"Tahdon tasa-arvoisemman työelämän, inhimillistä perhepolitiikkaa sekä laadukasta opetusta ja tutkimusta aina varhaiskasvatuksesta tutkijanuraan asti. Tahdon vähentää köyhyyttä ja katkaista eriarvoistumisen kiihtymisen parantamalla perusturvaa, uudistamalla sosiaaliturvajärjestelmää ja lisäämällä terveyspalveluiden saavutettavuutta. Tahdon lisää liikettä ja liikuntaa yhteiskunnan kaikkiin toimintoihin terveyden ja hyvinvoinnin edistämiseksi."
Perussuomalaiset,"Haluan puolustaa suomalaisten omaa päätäntävaltaa, joka merkitsee sitä, että yksinomaan kansalla on oikeus päättää omista asioistaan."
Suomen Kristillisdemokraatit (KD),"Talouden tasapainottamista, yrittäjyyden tukemista, työttömien työllistymistä, perheiden tukemista, vanhusten hoidon parantamista"
Suomen Kristillisdemokraatit (KD),"Haluan panostaa ennaltaehkäiseviin toimintoihin vauvasta vaariin: panostuksia matalan kynnyksen palveluihin ja yhden luukun periaatteeseen. perhetyö, etsivä nuorisotyö, omaishoidon tukeminen."
Perussuomalaiset,"1. Yrittäjyys ja nuoret    Pienyrittäjien asema on Suomessa tukala. Tunnen paljon pienyrittäjiä ja olen tietoinen heidän haasteistaan  niin työntekijöiden palkkaamisen, veroasioiden, terveydenhuollon, työttömyysturvan jne. osalta. Yrittämiselle on saatava paremmat edellytykset ja ennen kaikkea nuorille yrittäjille. Nuorissa on tämän kansakunnan tulevaisuus ja nyt me laiminlyömme heidän pärjäämisedellytyksiään.     Talousvaliokunnan on kiinnostava.    2. Valtion talouden tasapainotus    Nykyiset vallanpitäjät antavat ymmärtää, että meidän on elettävä velaksi ja rahat ei riitä. Kuitenkin viimeiset 130 vuotta Suomessa uuden sukupolven varallisuus on aina n. 2-kertainen verrattuna heidän vanhempiinsa eli kyllä varallisuutta kertyy, mutta se kanavoidaan väärin ja ohjataan ulkomaille.    Valtiovarainvaliokunta kiinnostaa.    3. Urheilu, liikunta, kulttuuri     Näiden asioiden edistäminen ja integrointi koko elämänkaaren ajaksi  on erittäin hyödyllistä kansantaloudellisesti. Niillä on ennaltaehkäisevä vaikutus tulevaisuudessa ja terveydenhuollon kustannukset pienenevät tai pysyvät samalla tasolla vaikka väestö kasvaa.     Sivistysvaliokunta kiinnostaa.    4. Eläkeläisten toimeentulo    Suomen eläkeläisten määrä kasvaa koko ajan. He ovat tehneet oman osansa, että meillä on arvostettu ja vauras yhteiskunta. Heidän toimeentulonsa on turvattava, jotta he voivat nauttia aktiivisesti."
Suomen Kristillisdemokraatit (KD),"Valtionvelan kasvun hillitseminen, palvelutuotannon tehostaminen, työllisyyden kasvu (esim. tulo- ja alv-verotus, uudet teollisuus- ja koulutustuotteet, tuki myös pk-yrityksille), monikulttuurinen kilpailukyky, sote maaliin."
Suomen Kristillisdemokraatit (KD),Länsimaisen demokratian luovuttamattomuutta. Edistää koko Suomen maan pitämistä asuttuna. Työllisyyden runsasta lisääntymistä.
Suomen Keskusta,"Tukea tarvitsevan, työssäkäyvän ja pienyrittäjän"
Suomen Kristillisdemokraatit (KD),"Haluan edistää yrittäjyyttä, työllisyyttä och sosiaalipolitiikan uudistamista."
Perussuomalaiset,"Maahanmuuttopolitiikkaa on järkeistettävä, pienyrittäjyydestä tehtävä todellinen vaihtoehto palkkatyölle ja nuorten asiat on vihdoin otettava politiikan keskiöön. Kansalaisten kiusaaminen turhalla byrokratialla ja kielloilla on lopetettava. On myös huolehdittava eläinten oikeuksista, jotka koskettavat kaikkia suomalaisia."
Perussuomalaiset,"Oikeudenmukaisuus ja inhimillisyys päätöksentekoon, Yrittäjyyttä helpotettava, vähemmän sääntelyä ja siten lisää työllisyyttä, Onnellinen ja arvokas vanhuus, eläkkeisiin järkeä, Nuoriso- ja pitkäaikaistyöttömyys saatava vähenemään, Enemmistön ääni takaisin päätöksentekoon, Maanpuolustus on itsenäisen Suomen selkäranka, Rikosten uhreja sekä koulu- ja työpaikkakiusattuja suojeltava."
Suomen Keskusta,"Keskustan viisi tavoitetta vuodelle 2025 ovat:  â€¢ Kodeissa voidaan hyvin, hyvinvointierot kapenevat  â€¢ Suomi osaamisen ja uusien oppimisympäristöjen kärkimaaksi  â€¢ Suomi julkisen sektorin johtamisen, byrokratian purkamisen, digitalisaation ja kokeilujen mallimaaksi  â€¢ Suomi biotalouden, kiertotalouden ja kestävän kehityksen edelläkävijäksi  â€¢ Koko Suomeen 200 000 työpaikkaa lisää, talous 2 prosentin kasvu-uralle työntekoa ja yrittäjyyttä vahvistamalla ja velaksi eläminen loppuu"
Suomen Kristillisdemokraatit (KD),"1. Työllisyys, 2. koulutuksen resurssit, 3. verotuksen kehittäminen, 4 Uskottava maanpuolustus 5. Kotimainen bioenergia"
Suomen Kristillisdemokraatit (KD),"Lasten ja nuorten ja lapsiperheitten hyvinvoinnin edistäminen. Ikäihmisten hyvän hoidon ja hoivan, varhaisen kuntoutuksen ja hyvinvointia tukevan turvallisen elinympäristön ja sosiaalisen verkoston rakentamisen puolesta.. Yrittäjille tukea työllistämiseen. Terveyspalvelujen tasapuolisuus ja painopisteeksi ennaltaehkäisevä ja kuntouttava ote. Kestävän kehityksen, kierrätyksen ja uusiutuvan energian puolesta.Sähköisten palvelujen yleistyessä turvattava ikäihmisten palvelutarpeet."
Kansallinen Kokoomus,"Kärkiteemoikseni olen nostanut pienyrittäjien tukemisen, ennaltaehkäisevät perhepalvelut sekä Itämeren suojelun."
Suomen Keskusta,"Tärkeimmät teemani ovat PERHE, TYÃ–LLISYYS ja KOULUTUS JA KULTTUURI. Olen sitä mieltä, että perheistä on huolehdittava, oli kyse sitten erilaisista lapsiperheistä, omaishoidosta tai yksineläjistä. Työn tekemisen ja työntekijän palkkaamisen tulisi olla mutkatonta. Suomen tulee jatkossakin panostaa koulutukseen, eikä kulttuuria saa unohtaa."
Vihreä liitto,"Haluan edistää kansanterveyttä, puhtaan ruokakulttuurin rakentamista, julkisia hyvinvointipalveluita ja ympäristön hyvinvoinitia."
Suomen Sosialidemokraattinen Puolue,Sote -uudistusta järkevämpään suuntaan
Suomen Keskusta,"Alueellisten mahdollisuuksien hyödyntämistä Suomen parhaaksi. Uusien teknologioiden ja innovaatioiden käyttöön ottamista, jotta Suomen kilpailukyky paranee. Avoimuutta, osallistavuutta ja vuorovaikutusta."
Vihreä liitto,"Missä on lähin terveyskeskus, tai mielenterveystoimisto, ja pääseekö sinne nopeasti? Riittävätkö kuntien rahat? Yksityistetäänkö sosiaali- ja terveyspalveluita lisää? Sosiaali- ja terveydenhuollon uudelleenjärjestämislaissa oli pohjimmiltaan kyse tästä. Teen töitä eduskunnassa hyvien kunnallisten sosiaali- ja terveyspalveluiden puolustamiseksi.    Metsät, joet, järvet ja suot tarvitsevat puolustajaa. Luonnon monimuotoisuus on turvattava. Saastuminen on laitettava kuriin ja ilmastonmuutos vaatii tekoja. Pitämällä ympäristöstä huolta vaikutamme ihmisten hyvinvointiin.    Pidetään Suomi suvaitsevaisena."
Perussuomalaiset,"Työllistymistä, vanhustenhoitoa sekä perhepolitiikkaa"
Kansallinen Kokoomus,Haluan edistää ihmisten hyvinvointia ja oikeudenmukaisuutta yhteiskunnassa.
Vihreä liitto,"Vapautta, vastuuta ja välittämistä ympäristöä kunnioittaen"
Suomen Kristillisdemokraatit (KD),Toimeentulon hankkimisesta mielekästä. Y-tunnukset alennusmyyntiin!
Suomen Sosialidemokraattinen Puolue,"Monipuolinen koulutukseni ja kokemukseni auttaa minua ymmärtämään, miten luomme investointeja, yrittäjyyttä, työtä, toimeentuloa ja verotuloja. Niillä yhteiset palvelut rahoitetan ja tuotetaan.  Suomea ei pidä säästää hengiltä, vaan on uskallettava rohkeasti luoda uutta."
Perussuomalaiset,"Minulla on lukuisia tavoitteita mm. yrittäminen tulee saada kannattavaksi, ja lähipalvelut tulee turvata keskittämisen sijaan."
Suomen Sosialidemokraattinen Puolue,"Haluan vähentää työttömyyttä. Se onnistuu, jos mikroyritysten toimintaedellytyksiä korjataan. Maahanmuuttajien suomen kielen opetusta on lisättävä."
Perussuomalaiset,Olen Perussuomalaisten  vaaliohjelman takana. Ajan ohjelmaa kokonaisuudessaan.
Vihreä liitto,"Minulle tärkeitä teemoja ovat lapsen oikeudet ja asema yhteiskunnassamme, rajallisten resurssien kustannustehokas käyttö sekä ihmisten oikeudenmukainen ja tasa-arvoinen kohtelu.    Jokaisella lapsella on oikeus hyvään elämään ja turvalliseen arkeen. Sosiaali- ja terveydenhuollon riittävät resurssit ja tasa-arvoiset palvelut on turvattava. Syrjäytymiseen pitää puuttua joka tasolla ja ongelmien kasaantuessa yhteiskunnan turvaverkon pitää toimia. Verotuksen painopistettä on siirrettävä työn ja yrittämisen sijaan kulutuksen ja ympäristöä kuormittavan toiminnan verottamiseen. Päätösten tekoon on saatava ekologista, sosiaalista ja taloudellista kestävyyttä."
Vihreä liitto,"Perustulon käyttöön ottaminen, turkistarhauksen kieltäminen, ympäristöministeriön aseman vahvistaminen, luonnonsuojeluohjelmien toteutumisen edistäminen, uusiutuvien energiantuotantomuotojen kehittäminen."
Vasemmistoliitto,"Valtion ja kuntien välistä vuorovaikutusta, verotuksen oikeudenmukaistamista, työllisyyden lisäämistä, koulutuksen leikkausten estämistä."
Perussuomalaiset,"Lähellä sydäntä ovat erityisesti sosiaali- ja terveysala, mm.saattohoidon, lastensuojelun ja varhaiskasvatuksen asioita haluan edistää. Omaishoidon tärkeyttä haluan korostaa ja omaishoitajien työlle sen ansaitsemaa arvostusta. Olen maahanmuuttokriittinen ja toivon, että leikkauksia tehdään mm. maahanmuuton kuluista. Avointa keskustelua toivon myös enemmän ilman rasismin leimaa."
Vihreä liitto,"Haluan ajaa sosiaali- ja terveyspolitiikan tasa-arvoa tuottavia toimenpiteitä, yhteiskunta tarvitsee uudistuksen kohti ihmislähtöisyyttä ja välittämistä."
Perussuomalaiset,Maamme turvallisuudesta vastaavien viranomaisten toiminnan turvaaminen kaikissa olosuhteissa on päätavoitteeni.  Pakkoruotsin poistaminen sekä hallitsemattoman maahanmuuton suitseminen.
Vihreä liitto,"Haluan edistää rakenteellisten uudistusten toteutumista Suomessa, jotta talouden perusta saadaan kuntoon eivätkä pienenevät ikäluokat joudu vastaamaan kohtuuttomasta velasta. Vaikeat päätökset edellyttävät meiltä useimmilta vahvempaa mukanaoloa työmarkkinoilla. Tämä on mahdollista mikäli samalla pidetään huolta perheiden jaksamisesta, työn ja kodin yhteensovittamisesta. On turvattava perheille parempi arki kiristyvässä taloudessa."
